customer_id,age,annual_income,credit_score,loan_amount,debt_to_income_ratio,employment_type,loan_purpose,region,num_monthly_transactions,avg_transaction_value,account_age_months,fraud_risk_score,default_probability,loan_approved,signup_date
CUST00011,52,39531.24,763,256742.49,0.64,Self-Employed,Business,East,235,6214.71,160,0.136,0.394,0,2022-11-30
CUST00024,47,75325.05,796,290567.42,0.37,Salaried,Home Improvement,South,151,8622.86,46,0.219,0.199,1,2023-02-24
CUST00031,52,134725.9,827,320527.8,0.52,Freelancer,Business,West,273,14546.1,58,0.054,0.133,0,2022-03-21
CUST00040,32,113821.49,644,378498.72,0.12,Student,Home Improvement,North,277,8061.48,141,0.225,0.212,1,2024-07-24
CUST00055,35,89843.55,777,403497.11,0.64,Salaried,Personal,West,196,316.72,30,0.27,0.255,0,2024-07-28
CUST00060,42,96283.86,630,375388.55,0.17,Self-Employed,Vehicle,East,211,8095.2,28,0.423,0.258,1,2024-03-06
CUST00064,39,36923.09,589,450325.46,0.44,Salaried,Education,North,233,14012.01,94,0.397,0.317,0,2021-06-23
CUST00067,21,36892.74,743,292712.92,0.15,Self-Employed,Personal,North,263,872.17,151,0.248,0.113,1,2022-05-06
CUST00068,30,59950.78,740,342343.85,0.54,Freelancer,Personal,Central,42,6236.43,62,0.288,0.32,0,2023-10-18
CUST00071,28,24046.89,599,234026.49,0.25,Student,Business,West,27,6637.3,53,0.292,0.376,0,2021-11-11
CUST00077,60,119554.09,727,461637.19,0.51,Freelancer,Personal,South,110,11591.58,51,0.211,0.319,0,2024-04-14
CUST00089,52,65909.69,675,137995.29,0.4,Student,Business,South,241,6098.0,4,0.384,0.265,1,2023-04-09
CUST00097,36,63656.39,730,247265.36,0.19,Student,Personal,Central,30,687.46,151,0.356,0.175,1,2024-12-16
CUST00102,59,139942.62,627,139485.05,0.31,Freelancer,Business,East,69,3657.78,158,0.377,0.288,1,2023-11-23
CUST00108,45,53736.09,688,207184.34,0.29,Self-Employed,Education,North,255,10878.96,60,0.277,0.257,1,2021-06-10
CUST00137,49,101827.18,666,92689.15,0.5,Student,Personal,West,123,14174.75,145,0.322,0.484,0,2022-08-08
CUST00140,33,67560.91,790,409827.94,0.13,Self-Employed,Personal,South,93,4992.88,143,0.381,0.154,1,2025-01-24
CUST00175,36,88457.4,765,68407.39,0.27,Salaried,Medical,South,187,1515.67,114,0.34,0.064,1,2024-02-07
CUST00199,60,97077.74,673,271657.39,0.37,Freelancer,Medical,West,266,5641.8,171,0.167,0.26,1,2026-01-17
CUST00210,35,85245.47,660,337012.49,0.41,Salaried,Medical,North,95,5907.41,72,0.243,0.316,1,2022-12-03
CUST00211,55,107689.47,649,242139.68,0.06,Salaried,Education,South,274,13779.34,83,0.486,0.159,1,2023-12-26
CUST00219,21,59409.86,556,446282.61,0.05,Salaried,Business,East,65,7140.15,168,0.506,0.166,0,2025-03-12
CUST00222,39,93952.65,673,86775.95,0.3,Student,Vehicle,South,23,6224.21,12,0.378,0.302,1,2023-01-05
CUST00236,37,52447.84,764,166282.44,0.57,Self-Employed,Medical,Central,279,3099.55,145,0.175,0.316,0,2024-10-08
CUST00262,54,59501.65,850,34559.66,0.49,Self-Employed,Vehicle,West,8,14371.07,143,0.144,0.207,1,2023-01-18
CUST00276,49,53499.67,597,298932.23,0.07,Self-Employed,Vehicle,South,275,13204.5,27,0.407,0.234,0,2022-11-15
CUST00278,26,56712.16,598,155451.54,0.2,Self-Employed,Business,South,183,873.32,164,0.404,0.254,0,2025-08-11
CUST00281,42,91261.25,559,151797.16,0.51,Student,Education,North,106,11732.9,81,0.361,0.523,0,2024-03-16
CUST00290,43,113008.48,640,55179.58,0.23,Student,Vehicle,East,206,13729.49,17,0.402,0.262,1,2022-08-18
CUST00293,39,112464.56,779,137364.0,0.06,Salaried,Medical,East,138,3838.31,48,0.394,0.102,1,2022-01-29
