Sender_ID,Receiver_Acct,Tx_Amount
U_001,M_STORE_1,45.50
U_002,M_STORE_1,120.00
U_003,U_004,15.00
U_005,M_STORE_2,89.99
U_001,M_STORE_2,210.00
U_006,M_STORE_1,45.50
U_007,U_001,25.00
U_008,M_STORE_3,9.99
U_009,M_STORE_3,14.50
U_010,U_002,50.00
FRAUD_SMURF_1,MULE_HUB_ALPHA,490.00
FRAUD_SMURF_2,MULE_HUB_ALPHA,485.00
FRAUD_SMURF_3,MULE_HUB_ALPHA,495.00
FRAUD_SMURF_4,MULE_HUB_ALPHA,499.00
FRAUD_SMURF_5,MULE_HUB_ALPHA,480.00
MULE_HUB_ALPHA,OFFSHORE_ALPHA,2449.00
FRAUD_CYCLE_1,FRAUD_CYCLE_2,5000.00
FRAUD_CYCLE_2,FRAUD_CYCLE_3,5000.00
FRAUD_CYCLE_3,MULE_HUB_BETA,5000.00
MULE_HUB_BETA,OFFSHORE_BETA,5000.00
U_004,M_STORE_3,100.00
U_002,M_STORE_2,75.00
U_005,U_006,30.00
